id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6145,Ball,LaMelo,51.05,CHA,PG,ORL,38.00,24.97,3.92,5.75,9.90,1.20,0.37,3.80,4.77,3.67,0.51,8.69,12.28,0.49,0.034,,
3001,Harden,James,50.74,PHI,PG/SG,@ NYK,37.00,20.87,2.89,7.29,10.98,1.06,0.52,3.45,3.44,5.32,0.78,6.33,8.36,0.58,0.180,,
5433,Sabonis,Domantas,50.55,SAC,PF/C,@ NOR,37.00,20.20,0.47,12.51,7.71,0.83,0.51,3.22,7.42,3.95,1.35,7.89,4.52,0.76,0.236,,
3916,Embiid,Joel,50.17,PHI,C,@ NYK,33.00,28.84,0.93,9.10,3.67,1.00,1.38,3.08,8.56,8.93,1.78,9.49,8.25,0.49,0.010,Playing,
3946,Randle,Julius,49.75,NYK,PF,PHI,36.00,25.16,2.49,12.12,4.20,0.70,0.31,2.67,5.72,6.25,2.07,8.21,9.76,0.76,0.023,,
6147,Edwards,Anthony,47.04,MIN,SG/SF,DEN,37.00,27.31,2.79,5.74,5.35,1.65,0.78,3.69,7.13,4.68,1.33,9.92,11.07,0.07,0.005,,
6152,Haliburton,Tyrese,45.53,IND,PG/SG,CLE,34.00,20.22,3.03,3.75,10.30,1.70,0.41,2.93,4.24,2.65,0.38,7.27,8.11,0.58,0.012,,
5460,Mitchell,Donovan,43.42,CLE,PG/SG,@ IND,35.00,26.45,3.84,4.26,4.88,1.59,0.33,2.96,5.00,4.93,0.80,8.84,10.47,0.03,0.001,,
6164,Bane,Desmond,42.71,MEM,SG,TOR,34.00,24.82,3.44,5.27,5.22,1.10,0.34,2.49,5.49,3.52,0.40,8.93,9.55,0.07,0.005,,
5356,VanVleet,Fred,41.86,TOR,PG/SG,@ MEM,38.00,20.44,3.20,4.95,6.63,1.57,0.68,1.98,3.61,3.62,0.43,6.81,10.35,0.11,0.003,,
3723,McCollum,C.J.,41.68,NOR,PG/SG,SAC,35.00,24.13,3.50,4.15,5.86,1.06,0.49,2.78,5.24,3.15,0.91,8.74,10.93,0.07,0.002,,
5354,Siakam,Pascal,40.72,TOR,PF/C,@ MEM,37.00,21.88,1.15,6.87,5.32,0.83,0.58,2.62,6.95,4.53,1.39,8.10,9.24,0.11,0.008,,
5698,Jackson Jr.,Jaren,40.34,MEM,PF/C,TOR,31.00,18.96,1.62,8.20,1.25,0.99,3.46,2.04,5.01,4.08,1.08,6.63,6.79,0.38,0.000,Playing,
6112,Garland,Darius,40.30,CLE,PG/SG,@ IND,36.00,20.66,2.29,2.76,8.43,1.55,0.08,2.89,4.72,4.35,0.62,7.01,8.71,0.38,0.004,,
5679,Brunson,Jalen,40.15,NYK,PG/SG,PHI,37.00,24.01,1.86,3.43,6.12,1.05,0.32,2.34,6.65,5.13,0.86,8.51,10.24,0.11,0.002,,
6276,Mobley,Evan,39.31,CLE,PF/C,@ IND,36.00,17.59,0.29,9.82,3.22,0.88,1.60,2.45,6.88,2.96,1.42,7.17,5.89,0.47,0.009,,
3675,Plumlee,Mason,37.61,CHA,C,ORL,31.00,15.57,0.00,10.80,3.51,0.81,0.78,1.38,5.81,3.95,2.13,5.81,2.59,0.50,0.010,,
5053,Turner,Myles,37.39,IND,PF/C,CLE,31.00,17.25,1.63,8.69,1.33,0.84,2.55,1.71,4.69,2.98,0.92,6.32,5.70,0.36,0.000,,
3729,Gobert,Rudy,37.21,MIN,C,DEN,34.00,15.84,0.00,11.92,0.91,1.04,1.58,1.96,5.81,4.22,2.03,5.81,2.99,0.57,0.000,Questionable,
5048,Russell,D'Angelo,37.19,MIN,PG/SG,DEN,36.00,20.13,3.28,2.91,6.93,1.04,0.28,2.85,3.46,3.37,0.59,6.74,7.95,0.11,0.001,,
