id,last_name,first_name,team,position
5658,Doncic,Luka,DAL,PG/SG
2011,James,LeBron,LAL,PG/SF/PF
3930,Jokic,Nikola,DEN,C
3916,Embiid,Joel,PHI,C
3640,Davis,Anthony,LAL,PF/C
3542,Lillard,Damian,POR,PG
3001,Harden,James,PHI,PG/SG
6145,Ball,LaMelo,CHA,PG
5693,Gilgeous-Alexander,Shai,OKC,PG/SG
3946,Randle,Julius,NYK,PF
6147,Edwards,Anthony,MIN,SG/SF
5454,Markkanen,Lauri,UTA,SF/PF
5664,Young,Trae,ATL,PG
3369,Irving,Kyrie,DAL,PG/SG
6152,Haliburton,Tyrese,IND,PG/SG
3404,Vucevic,Nikola,CHI,C
5461,Adebayo,Bam,MIA,PF/C
5460,Mitchell,Donovan,CLE,PG/SG
6112,Garland,Darius,CLE,PG/SG
3006,DeRozan,DeMar,CHI,SG/SF
5679,Brunson,Jalen,NYK,PG/SG
3357,Butler,Jimmy,MIA,SG/SF/PF
6281,Sengun,Alperen,HOU,C
5043,Porzingis,Kristaps,WAS,PF/C
5301,Murray,Dejounte,ATL,PG/SG
5047,Rozier,Terry,CHA,PG/SG
5360,Ingram,Brandon,NOR,SF/PF
5345,Murray,Jamal,DEN,PG
3932,LaVine,Zach,CHI,SG/SF
6276,Mobley,Evan,CLE,PF/C
3729,Gobert,Rudy,MIN,C
3914,Dinwiddie,Spencer,BKN,PG/SG
5053,Turner,Myles,IND,PF/C
5473,Kuzma,Kyle,WAS,SF/PF
6523,Kessler,Walker,UTA,C
3399,Thompson,Klay,GSW,SG/SF
6282,Giddey,Josh,OKC,PG/SG
3723,McCollum,C.J.,NOR,PG/SG
3439,Beal,Bradley,WAS,SG
5468,Allen,Jarrett,CLE,C
5936,Poole,Jordan,GSW,PG/SG
5913,Herro,Tyler,MIA,PG/SG
5048,Russell,D'Angelo,LAL,PG/SG
3908,Capela,Clint,ATL,C
6500,Banchero,Paolo,ORL,SF/PF
6280,Green,Jalen,HOU,SG
6511,Williams,Mark,CHA,C
3920,Gordon,Aaron,DEN,PF
