Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
3716903925,NBA $40K Four Point Play [20 Entry Max],143234781,$4 ,Luka Doncic (27369176),Coby White (27369655),Patrick Williams (27369749),Obi Toppin (27369482),Paul Reed (27369649),T.J. McConnell (27369488),Terence Davis (27369905),Jalen Duren (27369453),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
3716449696,NBA $200K Shootaround [50K to 1st],143234786,$20 ,Luka Doncic (27369176),Coby White (27369655),Patrick Williams (27369749),Obi Toppin (27369482),Paul Reed (27369649),T.J. McConnell (27369488),Terence Davis (27369905),Jalen Duren (27369453),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
,,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Luka Doncic (27369176),Luka Doncic,27369176,PG/G/UTIL,12400,CHI@DAL 04/07/2023 08:30PM ET,DAL,60.36
,,,,,,,,,,,,,C,Joel Embiid (27369179),Joel Embiid,27369179,C/UTIL,11600,PHI@ATL 04/07/2023 07:30PM ET,PHI,57.11
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (27369181),Giannis Antetokounmpo,27369181,PF/C/F/UTIL,11400,MEM@MIL 04/07/2023 08:00PM ET,MIL,57.44
,,,,,,,,,,,,,C,Anthony Davis (27369185),Anthony Davis,27369185,C/UTIL,10700,PHX@LAL 04/07/2023 10:30PM ET,LAL,51.88
,,,,,,,,,,,,,SF/PF,Jayson Tatum (27369187),Jayson Tatum,27369187,SF/PF/F/UTIL,10500,TOR@BOS 04/07/2023 07:30PM ET,BOS,52.62
,,,,,,,,,,,,,PG,Stephen Curry (27369191),Stephen Curry,27369191,PG/G/UTIL,10500,GSW@SAC 04/07/2023 10:00PM ET,GSW,50.4
,,,,,,,,,,,,,PG,Ja Morant (27369194),Ja Morant,27369194,PG/G/UTIL,10400,MEM@MIL 04/07/2023 08:00PM ET,MEM,48.5
,,,,,,,,,,,,,C,Domantas Sabonis (27369197),Domantas Sabonis,27369197,C/UTIL,10300,GSW@SAC 04/07/2023 10:00PM ET,SAC,48.69
,,,,,,,,,,,,,SF,LeBron James (27369199),LeBron James,27369199,SF/F/UTIL,10200,PHX@LAL 04/07/2023 10:30PM ET,LAL,52.85
,,,,,,,,,,,,,SG/SF,Jaylen Brown (27369202),Jaylen Brown,27369202,SG/SF/F/G/UTIL,10100,TOR@BOS 04/07/2023 07:30PM ET,BOS,43.44
,,,,,,,,,,,,,SF,Brandon Ingram (27369207),Brandon Ingram,27369207,SF/F/UTIL,10000,NYK@NOP 04/07/2023 08:00PM ET,NOP,41.33
,,,,,,,,,,,,,PG/SG,Kyrie Irving (27369210),Kyrie Irving,27369210,PG/SG/G/UTIL,9900,CHI@DAL 04/07/2023 08:30PM ET,DAL,46.01
,,,,,,,,,,,,,PF/C,Kristaps Porzingis (27369214),Kristaps Porzingis,27369214,PF/C/F/UTIL,9600,MIA@WAS 04/07/2023 07:00PM ET,WAS,42.99
,,,,,,,,,,,,,PF/C,Julius Randle (27369218),Julius Randle,27369218,PF/C/F/UTIL,9500,NYK@NOP 04/07/2023 08:00PM ET,NYK,46.36
,,,,,,,,,,,,,PG,James Harden (27369222),James Harden,27369222,PG/G/UTIL,9400,PHI@ATL 04/07/2023 07:30PM ET,PHI,48.99
,,,,,,,,,,,,,PF/C,Pascal Siakam (27369225),Pascal Siakam,27369225,PF/C/F/UTIL,9300,TOR@BOS 04/07/2023 07:30PM ET,TOR,45.85
,,,,,,,,,,,,,SG,Devin Booker (27369229),Devin Booker,27369229,SG/G/UTIL,9300,PHX@LAL 04/07/2023 10:30PM ET,PHX,44.13
,,,,,,,,,,,,,PG,Jalen Brunson (27369236),Jalen Brunson,27369236,PG/G/UTIL,9200,NYK@NOP 04/07/2023 08:00PM ET,NYK,40.02
,,,,,,,,,,,,,SF/PF,Kevin Durant (27369232),Kevin Durant,27369232,SF/PF/F/UTIL,9200,PHX@LAL 04/07/2023 10:30PM ET,PHX,48.74
,,,,,,,,,,,,,PG,Tyrese Haliburton (27369239),Tyrese Haliburton,27369239,PG/G/UTIL,9100,DET@IND 04/07/2023 07:00PM ET,IND,46.14
,,,,,,,,,,,,,PG/SG,Immanuel Quickley (27369242),Immanuel Quickley,27369242,PG/SG/G/UTIL,9000,NYK@NOP 04/07/2023 08:00PM ET,NYK,27.66
,,,,,,,,,,,,,PG,Trae Young (27369246),Trae Young,27369246,PG/G/UTIL,8900,PHI@ATL 04/07/2023 07:30PM ET,ATL,47.16
,,,,,,,,,,,,,SF/PF,Jimmy Butler (27369249),Jimmy Butler,27369249,SF/PF/F/UTIL,8900,MIA@WAS 04/07/2023 07:00PM ET,MIA,42.26
,,,,,,,,,,,,,PG,Jrue Holiday (27369253),Jrue Holiday,27369253,PG/G/UTIL,8800,MEM@MIL 04/07/2023 08:00PM ET,MIL,39.87
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (27369256),Jaren Jackson Jr.,27369256,PF/C/F/UTIL,8800,MEM@MIL 04/07/2023 08:00PM ET,MEM,36.41
,,,,,,,,,,,,,SF,Khris Middleton (27369260),Khris Middleton,27369260,SF/F/UTIL,8700,MEM@MIL 04/07/2023 08:00PM ET,MIL,29.35
,,,,,,,,,,,,,SG,Mikal Bridges (27369263),Mikal Bridges,27369263,SG/G/UTIL,8700,ORL@BKN 04/07/2023 07:30PM ET,BKN,34.93
,,,,,,,,,,,,,SG,Desmond Bane (27369266),Desmond Bane,27369266,SG/G/UTIL,8600,MEM@MIL 04/07/2023 08:00PM ET,MEM,37.42
,,,,,,,,,,,,,PG,Fred VanVleet (27369273),Fred VanVleet,27369273,PG/G/UTIL,8500,TOR@BOS 04/07/2023 07:30PM ET,TOR,40.78
,,,,,,,,,,,,,PF/C,Zion Williamson (27369269),Zion Williamson,27369269,PF/C/F/UTIL,8500,NYK@NOP 04/07/2023 08:00PM ET,NOP,43.57
,,,,,,,,,,,,,SF/PF,DeMar DeRozan (27369276),DeMar DeRozan,27369276,SF/PF/F/UTIL,8400,CHI@DAL 04/07/2023 08:30PM ET,CHI,40.76
,,,,,,,,,,,,,PG/SG,Dejounte Murray (27369280),Dejounte Murray,27369280,PG/SG/G/UTIL,8400,PHI@ATL 04/07/2023 07:30PM ET,ATL,39.86
,,,,,,,,,,,,,PF/C,PJ Washington (27369284),PJ Washington,27369284,PF/C/F/UTIL,8300,HOU@CHA 04/07/2023 07:00PM ET,CHA,29.7
,,,,,,,,,,,,,PG,De'Aaron Fox (27369288),De'Aaron Fox,27369288,PG/G/UTIL,8300,GSW@SAC 04/07/2023 10:00PM ET,SAC,42.45
,,,,,,,,,,,,,SG/SF,Zach LaVine (27369291),Zach LaVine,27369291,SG/SF/F/G/UTIL,8200,CHI@DAL 04/07/2023 08:30PM ET,CHI,39.38
