id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5658,Doncic,Luka,65.61,DAL,PG/SG,CHI,35,35.87,3.5,10.02,8.4,1.24,0.52,4.37,8.81,7.75,2.74,12.31,13,0.58,0.22,Probable
3640,Davis,Anthony,55.89,LAL,PF/C,PHO,37,27.44,0.34,14.39,2.71,1.11,2,2.55,9.64,7.14,1.76,9.98,7.99,0.84,0.008,Questionable
6117,Morant,Ja,51.18,MEM,PG,@ MIL,35,28.12,1.64,6.79,7.91,1.16,0.27,3.08,8.54,6.12,2.08,10.18,12.05,0.31,0.034,Off Injury Report
5433,Sabonis,Domantas,50.38,SAC,PF/C,GSW,37,19.24,0.28,12.54,8.08,0.95,0.41,3.05,7.06,4.28,1.47,7.34,5.06,0.76,0.289,Questionable
5450,Tatum,Jayson,49.35,BOS,SF/PF,TOR,30,28.65,3.28,8.28,4.55,0.82,0.56,2.95,5.82,7.17,1.25,9.1,10.09,0.38,0.011,Off Injury Report
5664,Young,Trae,48.56,ATL,PG,PHI,34,26.88,2.09,3.04,10.48,1.12,0.07,4.34,5.99,8.63,1.11,8.08,10.81,0.58,0.012,
2011,James,LeBron,47.63,LAL,PG/SF/PF,PHO,36,24.5,1.73,8.33,6.75,0.76,0.55,3.18,7.37,4.57,1.41,9.1,9.61,0.38,0.042,Questionable
2999,Curry,Stephen,47.28,GSW,PG,@ SAC,36,28.28,4.55,5.58,5.79,0.92,0.34,3.15,5.02,4.59,0.43,9.57,10.1,0.07,0.005,
5042,Portis,Bobby,46.21,MIL,PF/C,MEM,32,22.68,2.53,13.69,1.89,0.66,0.33,1.73,6.13,2.83,0.89,8.66,9.3,0.8,0,
5360,Ingram,Brandon,44.99,NOR,SF/PF,NYK,38,27.33,1.45,6.11,5.72,0.66,0.51,3.63,8.77,5.44,0.78,10.22,11.46,0.11,0.008,
6281,Sengun,Alperen,44.15,HOU,C,@ CHA,35,17.54,0.37,11.54,5.38,1.12,1.15,3.35,6.84,2.75,1.23,7.21,5.84,0.62,0.044,
5452,Fox,De'Aaron,43.66,SAC,PG,GSW,35,25.89,1.71,3.99,6.52,1.35,0.25,2.44,7.46,5.84,1.75,9.17,9.03,0.11,0.002,Questionable
3723,McCollum,C.J.,43.37,NOR,PG/SG,NYK,38,23.97,3.16,4.68,6.6,0.89,0.63,2.28,5.83,2.83,0.75,8.99,11.65,0.11,0.003,
5717,Bridges,Mikal,43.11,BKN,SG/SF,ORL,38,29.54,2.9,4.18,2.87,1.01,0.73,1.87,6.94,6.96,0.82,9.84,10.64,0.03,0,
5356,VanVleet,Fred,41.6,TOR,PG/SG,@ BOS,36,20.2,3.19,4.21,6.95,1.83,0.67,2.11,3.61,3.41,0.37,6.8,10.75,0.11,0.003,
6113,Porter,Kevin,40.78,HOU,PG/SG,@ CHA,37,19.86,2.91,6.04,6.58,1.4,0.35,3.31,4.15,2.83,0.9,7.06,8.88,0.11,0.012,
5301,Murray,Dejounte,40.14,ATL,PG/SG,PHI,36,21.08,1.72,5.11,6.22,1.41,0.27,2.14,6.75,2.42,0.52,8.47,9.54,0.11,0.008,
3914,Dinwiddie,Spencer,40.07,BKN,PG/SG,ORL,36,19.1,1.95,3.7,8.89,0.88,0.37,2.12,4.38,4.49,1.09,6.33,7.93,0.38,0.008,
5698,Jackson Jr.,Jaren,39.89,MEM,PF/C,@ MIL,33,19.94,1.77,7.6,1.12,1.18,2.97,1.77,5.37,3.89,1.01,7.14,7.95,0.31,0,
5354,Siakam,Pascal,39.54,TOR,PF/C,@ BOS,37,20.04,1.2,7.37,5.2,0.77,0.49,2.33,6.67,3.1,0.91,7.87,8.21,0.31,0.022,
6164,Bane,Desmond,39.29,MEM,SG,@ MIL,35,22.38,2.92,5.5,4.29,1.17,0.4,2.22,5.24,3.14,0.4,8.16,9.87,0.07,0.002,
3404,Vucevic,Nikola,38.35,CHI,C,@ DAL,35,16.64,1.06,11.15,3.06,0.72,0.52,1.51,5.96,1.54,0.35,7.02,6.16,0.59,0.012,Off Injury Report
6511,Williams,Mark,37.88,CHA,C,HOU,30,18.27,0,10.25,0.62,1.08,1.77,1.38,7.6,3.07,1.42,7.6,4.1,0.57,0,Probable
6280,Green,Jalen,37.6,HOU,SG,@ CHA,36,25.22,2.73,3.75,3.75,0.75,0.25,2.66,5.91,5.21,1.43,8.64,11.19,0.02,0,
6190,Nwora,Jordan,37.03,IND,SF,DET,34,20.23,2.83,7.14,3.11,0.67,0.49,2.01,4.53,2.68,0.77,7.36,8.91,0.31,0.006,
3399,Thompson,Klay,36.76,GSW,SG/SF,@ SAC,35,24.64,5.02,4.11,2.19,0.75,0.33,2.04,3.95,1.68,0.21,8.97,10.35,0.03,0,Off Injury Report
6505,Mathurin,Bennedict,36.46,IND,SG/SF,DET,36,25.08,1.5,5.39,1.82,0.84,0.25,2.25,6.64,7.3,1.41,8.14,9.11,0.07,0,
6185,Quickley,Immanuel,36.45,NYK,PG,@ NOR,37,21.54,2.9,4.51,4.01,1.05,0.2,1.48,4.48,3.88,0.93,7.38,8.42,0.03,0.001,
6501,Ivey,Jaden,36.25,DET,PG/SG,@ IND,33,19.41,2.18,4.25,6.69,0.86,0.26,4.03,4.17,4.53,1.53,6.35,8.94,0.11,0.003,
6507,Duren,Jalen,35.4,DET,C,@ IND,30,13.97,0,12.01,1.6,0.79,1.21,1.78,5.76,2.45,1.29,5.76,2.64,0.61,0,
6519,Hardy,Jaden,35.14,DAL,SG,CHI,30,20.9,3.32,4.46,3.74,0.92,0.36,2.42,3.94,3.06,0.68,7.26,9.75,0.03,0.001,
5973,Claxton,Nicolas,34.95,BKN,PF/C,ORL,31,12.54,0,9.6,2.27,0.96,2.56,1.21,5.12,2.3,1.74,5.12,2.28,0.37,0.004,
3402,Valanciunas,Jonas,34.83,NOR,C,NYK,30,15.29,0.28,11.44,2.26,0.23,0.76,2.27,5.91,2.63,0.56,6.19,5,0.57,0.006,
5040,Payne,Cam,34.39,PHO,PG,@ LAL,30,18.12,2.46,3.3,6.29,0.98,0.26,2.34,4.64,1.46,0.41,7.1,10.25,0.11,0.002,
5048,Russell,D'Angelo,33.46,LAL,PG/SG,PHO,35,18.09,2.99,3.24,5.68,0.87,0.34,2.44,3.11,2.9,0.54,6.1,7.54,0.07,0.001,Probable
3487,Green,Draymond,33.31,GSW,PF/C,@ SAC,35,9.83,0.6,7.47,7.34,1.2,0.8,3.07,3.49,1.05,0.44,4.09,3.44,0.15,0.047,
6146,Wiseman,James,33.09,DET,C,@ IND,28,16.55,0.21,10.1,0.89,0.23,1.06,1.79,6.87,2.18,1.02,7.08,4.96,0.53,0,
6153,Hayes,Killian,32.97,DET,PG,@ IND,34,13.11,1.19,3.07,7.9,2.01,0.4,3.25,3.88,1.78,0.45,5.07,8.64,0.25,0.005,
6532,Nembhard,Andrew,32.83,IND,PG/SG,DET,34,15.68,1.72,2.91,7.03,1.19,0.24,2.34,4.67,1.18,0.37,6.39,7.61,0.27,0.003,
6499,Smith Jr,Jabari,32.63,HOU,PF/C,@ CHA,35,15.27,1.45,8.45,1.89,0.64,1.07,1.35,4.08,2.76,0.82,5.53,7.19,0.33,0,
5456,Smith Jr.,Dennis,32.44,CHA,PG,HOU,30,15.63,0.75,3.24,5.77,1.67,0.56,1.65,5.18,3.02,1.12,5.93,7.69,0.06,0.001,Questionable
6290,Murphy,Trey,32.16,NOR,SG/SF,NYK,39,18.03,3.26,4.28,2.12,1.36,0.83,0.91,2.63,2.99,0.34,5.89,6.85,0.03,0,
6125,Johnson,Cam,32.15,BKN,SF/PF,ORL,33,18.23,2.89,5.05,2.27,1.23,0.37,1.1,3.2,3.16,0.58,6.09,6.42,0.07,0.001,
6193,Reed,Paul,32.13,PHI,PF,@ ATL,25,11.86,0,9.69,0.93,1.66,1.9,1.67,5.19,1.48,0.64,5.19,3.21,0.32,0,
6500,Banchero,Paolo,31.79,ORL,SF/PF,@ BKN,32,19.24,1.12,5.53,2.8,0.58,0.42,2.45,5.34,5.2,1.91,6.46,9.38,0.07,0.001,Questionable
3908,Capela,Clint,31.77,ATL,C,PHI,27,11.71,0,11.29,1.19,0.72,1.25,0.83,5.23,1.25,0.79,5.23,2.57,0.42,0,
6057,Barrett,R.J.,31.31,NYK,SG/SF,@ NOR,33,21.08,1.8,4.48,2.44,0.32,0.19,2,5.8,4.08,1.46,7.6,9.75,0.03,0,Questionable
5475,White,Derrick,31.04,BOS,PG/SG,TOR,31,14.83,2.23,4.12,5.05,0.63,0.86,1.41,2.98,2.18,0.29,5.21,5.64,0.06,0.002,Questionable
5695,Mykhailiuk,Svi,30.72,CHA,SG,HOU,32,18.21,3.11,3.24,3.14,1.11,0.3,1.31,3.3,2.28,0.87,6.41,9.32,0.02,0,
3678,Zeller,Cody,30.69,MIA,C,@ WAS,28,14.42,0.02,9.24,1.6,0.69,0.56,1.62,5.53,3.3,1.3,5.55,4.46,0.41,0,
6285,Barnes,Scottie,30.57,TOR,SF/PF,@ BOS,36,13.79,0.76,5.27,4.56,1.15,0.75,1.84,4.71,2.09,0.58,5.47,6.86,0.06,0.002,
5714,Milton,Shake,30.4,PHI,PG,@ ATL,30,16.22,1.69,3.87,5.09,0.51,0.34,1.87,4.18,2.79,0.49,5.87,7.11,0.06,0.001,
5721,Bagley III,Marvin,30.24,DET,PF/C,@ IND,26,14.88,0.49,8.45,1.13,0.55,0.92,1.12,5.55,2.31,0.95,6.04,5.09,0.32,0,Playing
5699,Carter,Jevon,30.24,MIL,PG,MEM,32,15.16,3.54,4.28,3.53,1.11,0.49,1.16,1.96,0.62,0.15,5.5,7.8,0.03,0.001,
3949,Smart,Marcus,30.14,BOS,PG/SG,TOR,33,12.53,2.08,3.33,6.28,1.69,0.47,2.92,2.24,1.81,0.61,4.32,6.18,0.08,0.002,Questionable
5469,Anunoby,O.G.,30.14,TOR,SF,@ BOS,36,15.98,2.56,5.39,1.7,1.57,0.68,2,3.31,1.68,0.35,5.87,6.68,0.06,0,
6508,Davis,Johnny,30.1,WAS,SG,MIA,34,15.36,1.7,5.86,2.15,1.18,0.92,1.91,4.16,1.94,0.94,5.86,7.98,0.06,0.001,
5058,Wright,Delon,29.98,WAS,PG/SG/PF,MIA,32,10.41,1.17,5.02,5.42,2.22,0.43,1.58,2.76,1.38,0.21,3.93,4.05,0.04,0.003,Starting
5936,Poole,Jordan,29.82,GSW,PG/SG,@ SAC,28,18.45,2.43,2.48,4.27,0.72,0.21,2.51,3.53,4.1,0.58,5.96,7.54,0.03,0,
6284,Wagner,Franz,29.81,ORL,SG/SF/PF,@ BKN,32,18.47,1.92,3.79,2.98,0.87,0.16,1.84,4.92,2.87,0.59,6.84,7.98,0.02,0,Questionable
3367,Harris,Tobias,29.66,PHI,SF/PF,@ ATL,28,16,1.91,5.53,2.25,0.81,0.62,1.07,4.26,1.75,0.24,6.17,5.7,0.06,0.001,Questionable
5976,White,Coby,29.32,CHI,PG,@ DAL,32,15.35,2.54,3.74,4.47,0.89,0.06,1.25,3.19,1.35,0.15,5.73,7.26,0.03,0.001,
6305,Jackson,Isaiah,29.26,IND,PF/C,DET,25,11.84,0.09,7.35,1.06,0.69,2.7,0.96,4.62,2.33,1.29,4.71,3.34,0.2,0,
6076,Strus,Max,29.1,MIA,SG,@ WAS,32,17.58,4.08,3.85,2.63,0.44,0.13,0.89,2.02,1.3,0.15,6.1,8.52,0.02,0,Questionable
3353,Biyombo,Bismack,28.99,PHO,C,@ LAL,28,8.26,0,9.53,1.77,0.62,2.67,1.4,3.82,0.62,1.07,3.82,2.48,0.19,0,
5448,Fultz,Markelle,28.68,ORL,PG,@ BKN,31,14.7,0.45,3.59,4.56,1.33,0.37,2.02,5.58,2.19,0.51,6.03,6.31,0.03,0.001,Questionable
6514,Eason,Tari,28.27,HOU,SF,@ CHA,28,11.87,0.86,7.97,1.39,1.42,0.79,1.59,3.79,1.71,0.65,4.65,5.48,0.2,0,
5476,Hart,Josh,27.85,NYK,SG/SF,@ NOR,29,12.61,1.23,6.23,3.17,1,0.28,1.21,3.5,1.92,0.64,4.73,4.05,0.08,0.002,
5355,Poeltl,Jakob,27.64,TOR,C,@ BOS,25,10.42,0,8.3,2.34,0.8,1.09,1.57,4.61,1.2,0.77,4.61,2.49,0.22,0.002,
6127,Martin,Caleb,27.62,MIA,SG/SF,@ WAS,31,14.18,1.72,5.79,1.79,0.98,0.58,1.1,3.46,2.1,0.47,5.18,5.81,0.06,0,
6115,Bitadze,Goga,27.54,ORL,C,@ BKN,30,11.17,0.46,7.2,2.03,0.79,1.44,1.34,3.95,1.89,0.98,4.41,3.73,0.2,0.002,
6322,Grimes,Quentin,27.01,NYK,SG,@ NOR,38,14.39,2.89,4.28,2.45,0.85,0.48,1.1,2.22,1.28,0.36,5.11,6.39,0.03,0,
5981,McDaniels,Jalen,26.73,PHI,PF,@ ATL,28,13.46,1.11,5.73,1.57,1.32,0.55,1.25,4.06,2.01,0.45,5.17,5.64,0.06,0,
6161,Nesmith,Aaron,26.48,IND,SF,DET,32,13.85,2.04,5.23,1.85,0.89,0.54,1.29,2.57,2.59,0.49,4.61,6.18,0.06,0,
5028,Looney,Kevon,26.32,GSW,PF/C,@ SAC,25,8.01,0,10.06,2.04,0.72,0.62,0.68,3.5,1.01,0.68,3.5,1.6,0.22,0.002,
5713,Shamet,Landry,26.32,PHO,SG,@ LAL,28,16.01,3.29,2.32,2.81,0.81,0.27,1.25,2.13,1.88,0.3,5.42,8.87,0.01,0,
6296,Bouknight,James,25.95,CHA,SG,HOU,27,14.16,2.26,4.15,2.49,0.95,0.27,1.49,2.75,1.88,0.53,5.01,8,0.03,0,
