Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3717090461,jbasi73 (41/150),0,374,C Paul Reed F Patrick Williams G Trae Young PF Jalen McDaniels PG Kevin Porter Jr. SF Trey Murphy III SG Jaden Ivey UTIL Coby White,,Jaden Hardy,G,47.76%,16.5
2,3716570711,bpcologna (78/150),0,370.25,C Alperen Sengun F Marjon Beauchamp G Trae Young PF Jaren Jackson Jr. PG Shake Milton SF Franz Wagner SG Jaden Ivey UTIL Lindell Wigginton,,Shake Milton,PG,45.27%,43.5
3,3717121131,tomjk321 (85/150),0,367,C Isaiah Jackson F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Cole Anthony SF Jalen McDaniels SG Shake Milton UTIL Lindell Wigginton,,Cameron Payne,G,33.25%,21
4,3717244826,moklovin (21/150),0,366.25,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF RJ Barrett PG Trae Young SF Jalen McDaniels SG Victor Oladipo UTIL Jaden Hardy,,Brandon Ingram,SF,33.21%,36.75
5,3717121184,tomjk321 (138/150),0,364,C Alperen Sengun F Jaren Jackson Jr. G Lindell Wigginton PF Georges Niang PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Ja Morant,,Bobby Portis,PF,24.02%,0
6,3716970423,bgreseth (36/150),0,359.5,C Cody Zeller F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Jaden Springer UTIL Lindell Wigginton,,LeBron James,F,22.75%,12.25
7,3717090559,jbasi73 (139/150),0,358.5,C Alperen Sengun F Jalen McDaniels G Kevin Porter Jr. PF Patrick Williams PG Victor Oladipo SF Jayson Tatum SG Jaden Ivey UTIL Shake Milton,,Theo Maledon,PG,20.75%,47.25
8,3716785549,LorenzoStax (10/50),0,358,C Meyers Leonard F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Jaden Ivey SF Jalen McDaniels SG Jaden Springer UTIL Lindell Wigginton,,Alperen Sengun,C,19.68%,50.75
9,3717090478,jbasi73 (58/150),24,354.75,C Alperen Sengun F Brandon Ingram G Shake Milton PF Jaren Jackson Jr. PG Jaden Ivey SF Jalen McDaniels SG Victor Oladipo UTIL Cameron Payne,,Isaiah Jackson,UTIL,19.21%,30.75
10,3717090493,jbasi73 (73/150),17.02,354.25,C Alperen Sengun F PJ Dozier G Theo Maledon PF Jaren Jackson Jr. PG Victor Oladipo SF Marjon Beauchamp SG Jaden Ivey UTIL Trae Young,,Terence Davis,SF,18.98%,13.75
11,3716970401,bgreseth (14/150),17.02,353.5,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Jalen McDaniels SG Jaden Springer UTIL Terence Davis,,Goga Bitadze,UTIL,17.49%,36.25
12,3717090446,jbasi73 (26/150),17.02,353.25,C Alperen Sengun F Terence Davis G Jaden Ivey PF Jalen McDaniels PG Victor Oladipo SF Jayson Tatum SG Shake Milton UTIL Trae Young,,Stephen Curry,G,17.04%,36.5
13,3717090468,jbasi73 (48/150),17.02,353,C Alperen Sengun F Terence Davis G Trae Young PF Patrick Williams PG Jaden Ivey SF Brandon Ingram SG Victor Oladipo UTIL Shake Milton,,Pascal Siakam,C,15.67%,33.75
14,3717048032,l800Eddie (87/150),17.02,352.75,C Alperen Sengun F Jaren Jackson Jr. G Trae Young PF Jalen McDaniels PG Theo Maledon SF Max Strus SG Terence Davis UTIL Lindell Wigginton,,Victor Oladipo,SG,15.18%,45.25
14,3716774624,kurtiejax,0,352.75,C Mark Williams F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Shake Milton SF Jalen McDaniels SG Jaden Hardy UTIL Lindell Wigginton,,Immanuel Quickley,PG,13.01%,36.75
14,3716781375,GoGators21 (1/2),0,352.75,C Mark Williams F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Shake Milton SF Jalen McDaniels SG Jaden Hardy UTIL Lindell Wigginton,,Anthony Davis,UTIL,12.82%,24.75
14,3716880544,apumafl,0,352.75,C Mark Williams F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Shake Milton SF Jalen McDaniels SG Jaden Hardy UTIL Lindell Wigginton,,Jalen McDaniels,F,12.73%,52.25
18,3716483125,Nickelback4Lyfe (34/150),0,352.5,C Paul Reed F Trey Murphy III G Spencer Dinwiddie PF Jaren Jackson Jr. PG Trae Young SF Marjon Beauchamp SG Shake Milton UTIL Coby White,,Jaden Ivey,G,12.60%,52.25
19,3716970450,bgreseth (63/150),0,351.5,C Alperen Sengun F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Victor Oladipo SF Max Strus SG Jaden Springer UTIL Lindell Wigginton,,Jayson Tatum,PF,12.33%,29.25
20,3716443641,dacoltz (110/150),24,351,C Paul Reed F Jaren Jackson Jr. G Lindell Wigginton PF Jalen McDaniels PG Trae Young SF Buddy Hield SG Shake Milton UTIL Anthony Davis,,Obi Toppin,PF,12.27%,19
21,3716443545,dacoltz (14/150),0,350.75,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,Trae Young,G,11.94%,66.25
21,3716582072,unkydomfreebands,0,350.75,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,Jaden Springer,SG,11.54%,30
21,3717121075,tomjk321 (29/150),0,350.75,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,Max Strus,F,11.29%,18.75
24,3716977810,shannon1986 (4/6),0,350.25,C Alperen Sengun F Svi Mykhailiuk G Jalen Green PF Pascal Siakam PG Jaden Ivey SF Jalen McDaniels SG Shake Milton UTIL Goga Bitadze,,Caleb Martin,SF,10.95%,13.5
25,3716770439,Wperry (4/4),0,350,C Alperen Sengun F Jaren Jackson Jr. G Lindell Wigginton PF Pascal Siakam PG Victor Oladipo SF Brandon Ingram SG Shake Milton UTIL Goga Bitadze,,Jaren Jackson Jr.,F,10.29%,53
26,3716651507,Papasfishin,0,349.25,C Paul Reed F Jalen McDaniels G Trae Young PF Jaren Jackson Jr. PG Lindell Wigginton SF KJ Martin SG Immanuel Quickley UTIL Goga Bitadze,,Paul Reed,C,10.23%,24.5
27,3716896106,MPascavis (101/150),17.02,349,C Goga Bitadze F Herbert Jones G Trae Young PF Jalen McDaniels PG Spencer Dinwiddie SF Trey Murphy III SG Victor Oladipo UTIL Stephen Curry,,Andre Drummond,UTIL,10.01%,0
28,3716829280,TeameZ,0,347.75,C Isaiah Jackson F Svi Mykhailiuk G Theo Maledon PF Jalen McDaniels PG Kevin Porter Jr. SF Patrick Williams SG Jalen Green UTIL Alperen Sengun,,Svi Mykhailiuk,G,9.72%,40.75
29,3716811602,papagates (109/150),41.02,347,C Alperen Sengun F Marjon Beauchamp G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Davion Mitchell UTIL Cameron Payne,,Quentin Grimes,SF,9.06%,22
30,3716554830,JHabelitz23 (1/5),0,346.75,C Alperen Sengun F Brandon Ingram G Shake Milton PF Jaren Jackson Jr. PG Victor Oladipo SF Marjon Beauchamp SG Jaden Ivey UTIL Isaiah Jackson,,Bol Bol,F,8.87%,15.5
31,3717244925,moklovin (120/150),17.02,344.75,C Alperen Sengun F Brandon Ingram G Theo Maledon PF Draymond Green PG Killian Hayes SF Jalen McDaniels SG Victor Oladipo UTIL Shake Milton,,Kevin Porter Jr.,PG,7.94%,40.75
32,3716851892,ckpetros (1/2),0,344.25,C Alperen Sengun F Brandon Ingram G Shake Milton PF Georges Niang PG Theo Maledon SF Jalen McDaniels SG Johnny Davis UTIL Jaden Ivey,,Luka Doncic,G,7.68%,23.75
33,3716570767,bpcologna (134/150),17.02,343,C Alperen Sengun F Terence Davis G Kevin Porter Jr. PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Ivey UTIL Lindell Wigginton,,Mark Williams,C,7.57%,33.75
33,3717194078,icealford,0,343,C Paul Reed F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Springer UTIL Lindell Wigginton,,Marjon Beauchamp,SF,7.25%,34.5
