Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
3986047058,NBA $400K Fadeaway [$100K to 1st],153063939,$15 ,De'Anthony Melton (30546327),Tyrese Maxey (30546288),Taurean Prince (30546355),Kevin Durant (30546276),Jusuf Nurkic (30546305),Jordan Goodwin (30546410),Eric Gordon (30546350),Joel Embiid (30546263),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
3986056427,NBA $400K Fadeaway [$100K to 1st],153063939,$15 ,De'Anthony Melton (30546327),Tyrese Maxey (30546288),Taurean Prince (30546355),Kevin Durant (30546276),Jusuf Nurkic (30546305),Jordan Goodwin (30546410),Eric Gordon (30546350),Joel Embiid (30546263),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
3985533178,NBA FREE 150-Player,153068089,$0 ,De'Anthony Melton (30546327),Tyrese Maxey (30546288),Taurean Prince (30546355),Kevin Durant (30546276),Jusuf Nurkic (30546305),Jordan Goodwin (30546410),Eric Gordon (30546350),Joel Embiid (30546263),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Joel Embiid (30546263),Joel Embiid,30546263,C/UTIL,10300,PHI@MIL 10/26/2023 07:30PM ET,PHI,55.77
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (30546265),Giannis Antetokounmpo,30546265,PF/C/F/UTIL,10200,PHI@MIL 10/26/2023 07:30PM ET,MIL,56.95
,,,,,,,,,,,,,PG/SG,Devin Booker (30546269),Devin Booker,30546269,PG/SG/G/UTIL,9100,PHX@LAL 10/26/2023 10:00PM ET,PHX,46.14
,,,,,,,,,,,,,PG,Damian Lillard (30546273),Damian Lillard,30546273,PG/G/UTIL,9000,PHI@MIL 10/26/2023 07:30PM ET,MIL,52.45
,,,,,,,,,,,,,PF,Kevin Durant (30546276),Kevin Durant,30546276,PF/F/UTIL,8900,PHX@LAL 10/26/2023 10:00PM ET,PHX,49.41
,,,,,,,,,,,,,C,Anthony Davis (30546279),Anthony Davis,30546279,C/UTIL,8800,PHX@LAL 10/26/2023 10:00PM ET,LAL,52.27
,,,,,,,,,,,,,SF/PF,LeBron James (30546281),LeBron James,30546281,SF/PF/F/UTIL,8700,PHX@LAL 10/26/2023 10:00PM ET,LAL,52.41
,,,,,,,,,,,,,PG,James Harden (30546285),James Harden,30546285,PG/G/UTIL,8300,PHI@MIL 10/26/2023 07:30PM ET,PHI,48.4
,,,,,,,,,,,,,PG/SG,Tyrese Maxey (30546288),Tyrese Maxey,30546288,PG/SG/G/UTIL,7500,PHI@MIL 10/26/2023 07:30PM ET,PHI,32.29
,,,,,,,,,,,,,SF/PF,Tobias Harris (30546292),Tobias Harris,30546292,SF/PF/F/UTIL,6600,PHI@MIL 10/26/2023 07:30PM ET,PHI,29.04
,,,,,,,,,,,,,SG/SF,Khris Middleton (30546296),Khris Middleton,30546296,SG/SF/F/G/UTIL,6500,PHI@MIL 10/26/2023 07:30PM ET,MIL,31
,,,,,,,,,,,,,PG/SG,Bradley Beal (30546301),Bradley Beal,30546301,PG/SG/G/UTIL,6400,PHX@LAL 10/26/2023 10:00PM ET,PHX,38.76
,,,,,,,,,,,,,C,Jusuf Nurkic (30546305),Jusuf Nurkic,30546305,C/UTIL,6100,PHX@LAL 10/26/2023 10:00PM ET,PHX,32.1
,,,,,,,,,,,,,C,Brook Lopez (30546307),Brook Lopez,30546307,C/UTIL,6000,PHI@MIL 10/26/2023 07:30PM ET,MIL,32.6
,,,,,,,,,,,,,SG/SF,Kelly Oubre Jr. (30546309),Kelly Oubre Jr.,30546309,SG/SF/F/G/UTIL,5700,PHI@MIL 10/26/2023 07:30PM ET,PHI,32.56
,,,,,,,,,,,,,SG/SF,Austin Reaves (30546314),Austin Reaves,30546314,SG/SF/F/G/UTIL,5600,PHX@LAL 10/26/2023 10:00PM ET,LAL,24.94
,,,,,,,,,,,,,PG/SG,D'Angelo Russell (30546319),D'Angelo Russell,30546319,PG/SG/G/UTIL,5500,PHX@LAL 10/26/2023 10:00PM ET,LAL,32.26
,,,,,,,,,,,,,PF/C,Bobby Portis (30546323),Bobby Portis,30546323,PF/C/F/UTIL,5400,PHI@MIL 10/26/2023 07:30PM ET,MIL,30.12
,,,,,,,,,,,,,PG/SG,De'Anthony Melton (30546327),De'Anthony Melton,30546327,PG/SG/G/UTIL,5300,PHI@MIL 10/26/2023 07:30PM ET,PHI,23.13
,,,,,,,,,,,,,SG,Malik Beasley (30546331),Malik Beasley,30546331,SG/G/UTIL,5000,PHI@MIL 10/26/2023 07:30PM ET,MIL,19.82
