id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3701,Antetokounmpo,Giannis,54.39,MIL,PF/C,PHI,32.00,26.44,0.70,11.80,6.33,0.90,1.07,3.55,8.58,7.18,3.87,9.28,6.95,0.65,0.072,,
3916,Embiid,Joel,53.98,PHI,C,@ MIL,35.00,30.52,1.19,10.33,4.14,0.93,1.24,3.04,8.93,9.09,1.76,10.12,10.00,0.58,0.017,,
2718,Durant,Kevin,50.12,PHO,SF/PF,@ LAL,35.00,29.13,2.19,7.18,5.28,0.75,1.29,3.23,8.47,5.62,0.64,10.66,9.77,0.31,0.022,,
3542,Lillard,Damian,46.13,MIL,PG,PHI,36.00,25.56,3.48,4.94,7.52,0.82,0.32,2.80,4.22,6.68,0.83,7.70,9.68,0.31,0.009,,
3640,Davis,Anthony,45.98,LAL,PF/C,PHO,34.00,22.01,0.25,10.95,2.66,1.18,2.00,2.15,7.84,5.58,1.75,8.09,6.72,0.58,0.006,,
2011,James,LeBron,40.99,LAL,SF/PF,PHO,31.00,20.64,1.70,7.10,5.63,0.91,0.57,2.62,6.09,3.36,1.03,7.79,8.60,0.31,0.022,,
3939,Nurkic,Jusuf,35.32,PHO,C,@ LAL,28.00,13.68,1.07,10.93,2.59,1.03,0.84,1.79,4.01,2.45,1.28,5.08,5.08,0.46,0.005,,
6160,Maxey,Tyrese,34.20,PHI,PG/SG,@ MIL,36.00,20.62,2.82,3.39,4.24,0.90,0.26,1.59,4.45,3.26,0.58,7.27,8.58,0.03,0.001,,
6330,Reaves,Austin,30.89,LAL,SG/SF,PHO,33.00,17.03,1.60,3.41,5.33,0.60,0.26,2.05,3.55,5.13,0.84,5.15,5.33,0.07,0.001,,
5048,Russell,D'Angelo,29.18,LAL,PG/SG,PHO,33.00,14.44,2.29,2.96,5.70,0.84,0.34,2.20,2.91,1.75,0.41,5.20,6.41,0.06,0.001,,
3367,Harris,Tobias,28.74,PHI,SF/PF,@ MIL,35.00,14.46,1.80,5.65,2.82,0.83,0.50,1.32,3.63,1.80,0.28,5.43,6.09,0.06,0.001,,
5687,Melton,De'Anthony,28.40,PHI,PG/SG,@ MIL,34.00,12.85,2.43,4.54,3.31,1.66,0.60,1.72,1.96,1.64,0.44,4.39,6.15,0.02,0.000,,
6370,Goodwin,Jordan,27.01,PHO,PG/SG,@ LAL,26.00,10.87,1.21,4.84,4.55,1.25,0.44,1.49,3.13,0.98,0.30,4.34,5.82,0.02,0.001,,
5701,Okogie,Josh,25.85,PHO,SG/SF,@ LAL,33.00,11.21,1.46,5.65,2.13,1.37,0.72,1.19,2.31,2.21,0.92,3.77,5.66,0.05,0.000,,
2846,Lopez,Brook,25.42,MIL,C,PHI,28.00,11.02,0.91,6.22,1.17,0.49,1.94,1.10,3.30,1.69,0.38,4.21,3.99,0.07,0.000,,
3551,Middleton,Khris,25.21,MIL,SF,PHI,25.00,12.43,1.33,4.02,3.96,0.78,0.22,1.78,3.05,2.34,0.27,4.38,5.26,0.02,0.000,Playing,
2828,Gordon,Eric,23.19,PHO,SG/SF,@ LAL,32.00,13.30,2.65,2.50,2.65,0.66,0.42,1.41,2.00,1.35,0.35,4.65,6.51,0.01,0.000,,
5724,Allen,Grayson,21.71,PHO,SG,@ LAL,30.00,11.77,2.46,3.39,1.85,0.86,0.19,0.84,1.44,1.51,0.22,3.90,5.39,0.01,0.000,,
5427,Beasley,Malik,20.92,MIL,SG,PHI,28.00,11.38,2.72,3.71,1.46,0.74,0.19,1.05,1.19,0.84,0.24,3.91,5.75,0.01,0.000,,
